Connecting to unreal.db...
Starting backfill with workers=1 (single-process to avoid OOM)...
  backfill starting: 84,696 files, workers=1, provider=unreal
  bracket scan: 51000/84696 (60%) 386 files/s ETA 87s
  bracket scan: 51500/84696 (61%) 387 files/s ETA 86s
  bracket scan: 52000/84696 (61%) 386 files/s ETA 85s
  bracket scan: 52500/84696 (62%) 387 files/s ETA 83s
  bracket scan: 53000/84696 (63%) 382 files/s ETA 83s
  bracket scan: 53500/84696 (63%) 384 files/s ETA 81s
  bracket scan: 54000/84696 (64%) 386 files/s ETA 80s
  bracket scan: 54500/84696 (64%) 387 files/s ETA 78s
  bracket scan: 55000/84696 (65%) 387 files/s ETA 77s
  bracket scan: 55500/84696 (66%) 388 files/s ETA 75s
  bracket scan: 56000/84696 (66%) 388 files/s ETA 74s
  bracket scan: 56500/84696 (67%) 389 files/s ETA 72s
  bracket scan: 57000/84696 (67%) 388 files/s ETA 71s
  bracket scan: 57500/84696 (68%) 389 files/s ETA 70s
  bracket scan: 58000/84696 (68%) 390 files/s ETA 68s
  bracket scan: 58500/84696 (69%) 391 files/s ETA 67s
  bracket scan: 59000/84696 (70%) 392 files/s ETA 66s
  bracket scan: 59500/84696 (70%) 393 files/s ETA 64s
  bracket scan: 60000/84696 (71%) 394 files/s ETA 63s
  bracket scan: 60500/84696 (71%) 395 files/s ETA 61s
  bracket scan: 61000/84696 (72%) 396 files/s ETA 60s
  bracket scan: 61500/84696 (73%) 398 files/s ETA 58s
  bracket scan: 62000/84696 (73%) 395 files/s ETA 57s
  bracket scan: 62500/84696 (74%) 395 files/s ETA 56s
  bracket scan: 63000/84696 (74%) 393 files/s ETA 55s
  bracket scan: 63500/84696 (75%) 394 files/s ETA 54s
  bracket scan: 64000/84696 (76%) 394 files/s ETA 53s
  bracket scan: 64500/84696 (76%) 393 files/s ETA 51s
  bracket scan: 65000/84696 (77%) 391 files/s ETA 50s
  bracket scan: 65500/84696 (77%) 392 files/s ETA 49s
  bracket scan: 66000/84696 (78%) 393 files/s ETA 48s
  bracket scan: 66500/84696 (79%) 395 files/s ETA 46s
  bracket scan: 67000/84696 (79%) 396 files/s ETA 45s
  bracket scan: 67500/84696 (80%) 397 files/s ETA 43s
  bracket scan: 68000/84696 (80%) 398 files/s ETA 42s
  bracket scan: 68500/84696 (81%) 399 files/s ETA 41s
  bracket scan: 69000/84696 (81%) 399 files/s ETA 39s
  bracket scan: 69500/84696 (82%) 400 files/s ETA 38s
  bracket scan: 70000/84696 (83%) 401 files/s ETA 37s
  bracket scan: 70500/84696 (83%) 402 files/s ETA 35s
  bracket scan: 71000/84696 (84%) 403 files/s ETA 34s
  bracket scan: 71500/84696 (84%) 403 files/s ETA 33s
  bracket scan: 72000/84696 (85%) 404 files/s ETA 31s
  bracket scan: 72500/84696 (86%) 406 files/s ETA 30s
  bracket scan: 73000/84696 (86%) 407 files/s ETA 29s
